MBARI ID	INST ID	WMO	float type	1st lon	1st lat	1st date	msg dir	NC template	Program	Region	tf Bfile	tf Dead	tf NO3	tf pH	tf Chl	tf OCR	max cycle msg file	max cycle file date	latest cycle msg file	latest cycle file date	max cycle proc	max cycle proc date
ua12728	12728	5905140	APEX	-124.673	7.340	10/26/2017 15:51	\\seaecho.shore.mbari.org\floats\UW\f12728\	12	TPOS	EQPac	1	1	0	1	1	0	135	05/26/2021 19:26	135	05/26/2021 19:26	135	05/27/2021 01:40
ua12729	12729	5905133	APEX	-10.913	-39.114	09/17/2017 04:16	\\seaecho.shore.mbari.org\floats\UW\f12729\	1	SOCCOM	SO	1	1	1	1	1	0	166	04/16/2022 23:00	166	04/16/2022 23:00	140	07/14/2021 19:46
ua12730	12730	5905369	APEX	57.413	-63.993	01/17/2018 03:41	\\seaecho.shore.mbari.org\floats\UW\f12730\	1	SOCCOM	SO	1	1	1	1	1	0	11	04/27/2018 07:33	11	04/27/2018 07:33	11	04/27/2018 14:01
ua12733	12733	5905131	APEX	4.191	-34.633	10/09/2017 13:38	\\seaecho.shore.mbari.org\floats\UW\f12733\	1	SOCCOM	SO	1	1	1	1	1	0	179	09/12/2022 10:19	177	09/12/2022 11:07	170	06/02/2022 16:02
ua12734	12734	5905370	APEX	68.027	-54.024	12/24/2017 04:43	\\seaecho.shore.mbari.org\floats\UW\f12734\	1	SOCCOM	SO	1	1	1	1	1	0	34	11/20/2018 23:28	34	11/20/2018 23:28	34	11/21/2018 05:36
ua12736	12736	5905376	APEX	141.930	-53.583	01/22/2018 15:25	\\seaecho.shore.mbari.org\floats\UW\f12736\	1	SOCCOM	SO	1	1	1	1	1	0	100	10/13/2020 11:47	100	10/13/2020 11:47	100	10/13/2020 18:12
ua12739	12739	5905994	APEX	-36.842	-65.745	01/24/2019 09:53	\\seaecho.shore.mbari.org\floats\UW\f12739\	1	SOCCOM	SO	1	0	1	1	1	0	192	04/24/2024 01:43	192	04/24/2024 01:43	192	04/24/2024 05:25
ua12741	12741	5905377	APEX	149.995	-62.018	02/07/2018 04:42	\\seaecho.shore.mbari.org\floats\UW\f12741\	1	SOCCOM	SO	1	1	1	1	1	0	152	04/08/2022 06:39	152	04/08/2022 06:39	152	04/08/2022 12:52
ua12742	12742	5905135	APEX	-13.081	-47.496	09/21/2017 05:59	\\seaecho.shore.mbari.org\floats\UW\f12742\	1	SOCCOM	SO	1	1	1	1	1	0	162	02/27/2022 10:22	159	09/28/2022 20:33	161	02/17/2022 15:23
ua12744	12744	5905130	APEX	11.795	-34.435	09/10/2017 07:52	\\seaecho.shore.mbari.org\floats\UW\f12744\	1	SOCCOM	SO	1	1	1	1	1	0	159	01/13/2022 18:43	159	01/13/2022 18:43	159	01/14/2022 02:02
ua12745	12745	5905132	APEX	-9.928	-36.545	10/06/2017 20:11	\\seaecho.shore.mbari.org\floats\UW\f12745\	1	SOCCOM	SO	1	1	1	1	1	0	162	03/25/2022 22:14	113	10/03/2022 22:20	150	11/23/2021 19:31
ua12747	12747	5905984	APEX	-41.356	-39.207	10/24/2018 10:48	\\seaecho.shore.mbari.org\floats\UW\f12747\	1	SOCCOM	SO	1	1	1	1	1	0	173	07/10/2023 08:31	173	07/10/2023 08:31	173	07/10/2023 14:46
